premise,hypothesis,label,explanation_1,explanation_2,explanation_3,premise_highlighted_1,hypothesis_highlighted_1,premise_highlighted_2,hypothesis_highlighted_2,premise_highlighted_3,hypothesis_highlighted_3,premise_marked_1,hypothesis_marked_1,premise_marked_2,hypothesis_marked_2,premise_marked_3,hypothesis_marked_3,highlighted_premise_all,highlighted_hypothesis_all
A young boy wearing a suit and top hat is holding hands with a girl in a green dress.,the people are dying of old age,2,A boy and girl holding hands has nothing to do with the death of old people.,Answer: At young age you can be holding hands but old age is a sign of dying,A young boy holding hands with a girl is not people dying of old age.,,,,,,,A young *boy* wearing a suit and top hat is *holding* *hands* with a *girl* in a green dress.,the *people* are *dying* *of* *old* *age*,A *young* boy wearing a suit and top hat is holding hands with a girl in a green dress.,the people are dying of *old* age,A *young* *boy* wearing a suit and top hat is *holding* *hands* *with* *a* *girl* in a green dress.,the *people* are *dying* *of* *old* *age*,"boy,holding,young,hands,girl,a,with","dying,age,old,people,of"
Man walking a small pug.,The man is walking a large pitbull.,2,The animals are different- pug and large pitbull.,A small pug differs from a large pitbull both in size and breed.,"They refer to a pug, not a pitbull.",,,,,,,Man walking a small *pug.*,The man is walking a *large* *pitbull.*,Man walking a *small* *pug.*,The man is walking a *large* *pitbull.*,Man walking a small *pug.*,The man is walking a large *pitbull.*,"small,pug","pitbull,large"
"Three people sitting on a table, one woman is speaking, and people are listening to them.",Three people standing on a table yelling and ignoring everyone else.,2,Sitting is the opposite or standing.  Listening is the opposite of ignoring.,You can't be sitting and standing at the same time. You can't be listening and ignoring at the same time.,A person sitting cannot be standing the same time.,,,,,,," Three people *sitting* on a table, one woman is speaking, and people are *listening* to them.",Three people *standing* on a table yelling and *ignoring* everyone else.," Three people *sitting* on a table, one woman is speaking, and people are *listening* to them.",Three people *standing* on a table yelling and *ignoring* everyone else.," Three people *sitting* on a table, one woman is speaking, and people are listening to them.",Three people *standing* on a table yelling and ignoring everyone else.,"sitting,listening","ignoring,standing"
A man wearing a shite short-sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,A man is kissing a woman,0,Kisses a woman implies that in the past a man was kissing a woman,'A man is kissing a woman' is a much simpler rephrasing with specific details such as clothing and location omitted.,""" A man kissing a woman"" is the condensed version without clothing description.",,,,,,, A man wearing a shite short-sleeved shirt *kisses* *a* *woman* wearing a light pink jacket while standing on a public street., A man is *kissing* *a* *woman*, A *man* wearing a shite short-sleeved shirt *kisses* *a* *woman* wearing a light pink jacket while standing on a public street., A *man* is *kissing* *a* *woman*, A *man* wearing a shite short-sleeved shirt *kisses* *a* *woman* wearing a light pink jacket while standing on a public street., A *man* is *kissing* a *woman*,"a,kisses,man,woman","a,kissing,man,woman"
A helmeted male airborne on a bike on a dirt road.,The man fell off his bike.,2,"If the man fell off his bike, it is not possible for him to be airborne on his bike simultaneously.",The man cannot be airborne on the bike while also falling off of it.,The man can be either on or off the bike.,,,,,,,A helmeted male *airborne* on a bike on a dirt road.,The man *fell* *off* his bike.,A helmeted male *airborne* on a bike on a dirt road.,The man *fell* off his bike.,A helmeted male airborne *on* a bike on a dirt road.,The man fell *off* his bike.,"airborne,on","fell,off"
A man wearing a gray shirt and pink wristband plays the drums.,a woman in a gray shirt and pink wristband plays guitar,2,It can either be a woman or a man. They can either be playing the drums or the guitar.,You can either be a man or woman and the drums and guitar are two different instruments.,A man and a woman belong to different genders.,,,,,,,A *man* wearing a gray shirt and pink wristband plays the *drums.*,a *woman* in a gray shirt and pink wristband plays *guitar*,A *man* wearing a gray shirt and pink wristband plays the *drums.*,a *woman* in a gray shirt and pink wristband plays *guitar*,A *man* wearing a gray shirt and pink wristband plays the drums.,a *woman* in a gray shirt and pink wristband plays guitar,"man,drums","guitar,woman"
A woman wearing a straw hat is sitting among a variety of different foods while holding a drink.,A woman is standing by the food.,2,A woman cannot be sitting and standing simultaneously.,The woman is either sitting or standing; she cannot do both simultaneously.,She is not sitting by different foods at the same time as she is standing by the food.,,,,,,,A woman wearing a straw hat is *sitting* among a variety of different foods while holding a drink.,A woman is *standing* by the food.,A woman wearing a straw hat is *sitting* among a variety of different foods while holding a drink.,A woman is *standing* by the food.,A woman wearing a straw hat is *sitting* among a variety of different foods while holding a drink.,A woman is *standing* by the food.,sitting,standing
An Asian lady is holding a cup and sitting in front of a table covered in different foods.,A lady is standing.,2,The lady cannot simultaneously be sitting and standing,The lady is either sitting in front of a table or standing.,A person cannot be sitting and standing at the same time.,,,,,,,An Asian lady is holding a cup and *sitting* in front of a table covered in different foods.,A lady is *standing.*,An Asian lady is holding a cup and *sitting* *in* *front* *of* *a* *table* covered in different foods.,A lady is *standing.*,An Asian lady is holding a cup and *sitting* in front of a table covered in different foods.,A lady is *standing.*,"front,sitting,in,table,a,of",standing
A mother holds her newborn baby.,A father holding a ball.,2,There can be either a mother or a father holding a baby or a ball.,Father is not mother. Ball is not baby,"If someone is holding a newborn baby, they are not holding a ball.",,,,,,,A *mother* holds her newborn *baby.*,A *father* holding a *ball.*,A *mother* holds her newborn *baby.*,A *father* holding a *ball.*,A mother holds her *newborn* *baby.*,A father holding a *ball.*,"mother,baby,newborn","ball,father"
A woman in a burgundy coat exits Trader Joe's with a cart full of groceries.,a man walking backwards,2,A person would not be referred to as a man and as a woman at the same time.,"A woman exits Trader Joe's, not a man walking backwards.",Man and woman are totally different.,,,,,,,A *woman* in a burgundy coat exits Trader Joe's with a cart full of groceries.,a *man* walking backwards,*A* *woman* in a burgundy coat *exits* *Trader* *Joe's* with a cart full of groceries.,*a* *man* *walking* *backwards*,A *woman* in a burgundy coat exits Trader Joe's with a cart full of groceries.,a *man* walking backwards,"A,Joe's,woman,Trader,exits","backwards,a,walking,man"
A woman is walking with a full shopping cart away from a Trader Joe's.,A man is in a driveway washing his car.,2,Man and woman are two different genders,A woman is different from a man.,A man and a woman are two different kinds of people.,,,,,,,A *woman* is walking with a full shopping cart away from a Trader Joe's.,A *man* is in a driveway washing his car.,A *woman* is walking with a full shopping cart away from a Trader Joe's.,A *man* is in a driveway washing his car.,A *woman* is walking with a full shopping cart away from a Trader Joe's.,A *man* is in a driveway washing his car.,woman,man
A man is sitting at a restaurant table outdoors.,The man is inside the restaurant in a booth.,2,One cannot sit outdoors and inside simultaneously.,The man can't be inside and outdoors.,A person cannot be inside and outside simultaneously.,,,,,,,A man is sitting at a restaurant table *outdoors.*,The man is *inside* the restaurant in a booth.,A man is sitting at a restaurant table *outdoors.*,The man is *inside* the restaurant in a booth.,A man is sitting at a restaurant table *outdoors.*,The man is *inside* the restaurant in a booth.,outdoors,inside
A small child in a red jacket is sitting on a man's shoulders and holding his head.,A small child is standing by the man.,2,The child can not be sitting on a man's shoulders if he is standing.,a child would be either be on a man or near the man,one can't sitting om man's shoulder and stand by the man at a same time,,,,,,,A small child in a red jacket is *sitting* *on* *a* *man's* *shoulders* and holding his head.,A small child is *standing* by the man.,A small child in a red jacket is sitting *on* a man's shoulders and holding his head.,A small child is standing by the *man.*,A small child in a red jacket is *sitting* *on* *a* *man's* *shoulders* and holding his head.,A small child is *standing* *by* *the* *man.*,"sitting,shoulders,man's,on,a","standing,the,man,by"
Four youth and an elder man and woman playing in water just up to the bottom of man's swim trunks.,A group of kids slide down a water slide as their parents watch them.,2,Playing in water does not constitute to slide down a water slide.,FOUR YOUTH AND N ELDER MAN AND WOMAN SO NOT SYMBOLISE A GROUP OF KIDS,An elder man and woman cannot be considered part of a group of kids. The water would not reach up to the bottom of man's swim trunks if he is only watching them.,,,,,,,Four youth and an elder man and woman *playing* *in* *water* just up to the bottom of man's swim trunks.,A group of kids *slide* *down* *a* *water* *slide* as their parents watch them.,*Four* *youth* and an *elder* *man* and *woman* playing in water just up to the bottom of man's swim trunks.,A *group* of *kids* slide down a water slide as their parents watch them.,Four youth and an *elder* *man* *and* *woman* playing in *water* just *up* *to* *the* *bottom* *of* *man's* *swim* *trunks.*,A *group* *of* *kids* slide down a water slide as their parents *watch* *them.*,"swim,woman,man's,youth,in,elder,to,bottom,playing,and,up,Four,water,trunks,the,man,of","watch,of,them,kids,a,slide,water,down,group"
Several cartoon characters are behind a young girl sitting in a highchair with a bucket and SpongeBob in front of her.,All of the cartoon characters are sleeping while standing up.,2,They cannot be sitting and standing.,"There are 3 different positions mentioned here. Sitting, standing, and sleeping which usually has you in a laying position.",There is no sleeping in the kitchen.,,,,,,,Several cartoon characters are behind a young girl *sitting* in a highchair with a bucket and SpongeBob in front of her.,All of the cartoon characters are sleeping while *standing* up.,Several cartoon characters are behind a young girl *sitting* in a highchair with a bucket and SpongeBob in front of her.,All of the cartoon characters are *sleeping* while *standing* *up.*,Several cartoon characters are behind a young girl *sitting* *in* *a* *highchair* with a bucket and SpongeBob in front of her.,All of the cartoon characters are *sleeping* while standing up.,"sitting,highchair,in,a","up,standing,sleeping"
Little girl blows bubbles in a public square.,Little boy blows spit at people who walk by.,2,There can either be a girl or a boy. He/she can either be blowing bubbles or spit.,"Girl and boy are contradictory genders. Spit and bubbles contradict one another, in that one (spit) creates the result of another (bubbles).",It is either a girl or a boy. Bubbles and spit are two very different things to blow.,,,,,,,Little *girl* blows *bubbles* in a public square.,Little *boy* blows *spit* at people who walk by.,Little *girl* blows *bubbles* in a public square.,Little *boy* blows *spit* at people who walk by.,Little *girl* *blows* *bubbles* in a public square.,Little *boy* *blows* *spit* at people who walk by.,"girl,blows,bubbles","spit,blows,boy"
A boy wearing a helmet is jumping his skateboard.,A girl is picks up her skateboard.,2,"a boy cannot be a girl or referred to as her, and if he or she picks an object up they cant also be jumping",A boy is not the same as a girl.,A boy is jumping his skateboard which is different than a girl picking up her skateboard.,,,,,,,A *boy* wearing a helmet is *jumping* his skateboard.,A *girl* is *picks* *up* *her* skateboard.,A *boy* wearing a helmet is jumping his skateboard.,A *girl* is picks up her skateboard.,A *boy* wearing a helmet is *jumping* his skateboard.,A *girl* is *picks* up her skateboard.,"jumping,boy","girl,her,picks,up"
Three men in hats and a woman in a red shirt examine the produce presented to them by the man in the blue shirt and white hat.,Three men adn a woman look at produce,0,If the men and a woman are examining produce then they are looking at it,three men and a woman look at examining produce,Three men and one woman look at produce. In the store.,,,,,,, Three *men* in hats and a woman in a red shirt *examine* the *produce* presented to them by the man in the blue shirt and white hat., Three *men* adn a *woman* look at *produce*, *Three* *men* in hats and a *woman* in a red shirt *examine* the *produce* presented to them by the man in the blue shirt and white hat., *Three* *men* adn a *woman* *look* at *produce*, *Three* *men* in hats *and* *a* *woman* in a red shirt examine the produce presented to them by the man in the blue shirt and white hat., Three *men* *adn* *a* *woman* *look* *at* *produce*,"woman,produce,examine,and,Three,men,a","woman,produce,look,at,adn,Three,men,a"
A man sitting and a woman laying in his lap kissing each other.,A man sitting and woman laying in his lap.,0,The woman is laying in the lap of the man.,A woman is kissing a man laying in his lap.,Man sitting and woman laying in his lap is the best posture to kiss each other.,,,,,,, A *man* sitting and a woman *laying* in his lap kissing each other., A man sitting and *woman* laying in his *lap.*, A man sitting and a *woman* laying in his lap *kissing* each other., A *man* sitting and woman *laying* *in* *his* *lap.*, A *man* *sitting* and a woman laying in his lap *kissing* each other., A man sitting and *woman* *laying* in his *lap.*,"kissing,woman,sitting,laying,man","his,lap,woman,in,laying,man"
People on a nature walk with nets and backpacks with trees to the left of them.,People on a nature walk with no equipment and trees to the right of them.,2,The people cannot simultaneously walk with no equipment and with nets and backpacks,"People are either carrying nets and backpacks or are carrying no equipment at all, can't be both.",The people have nets and backpacks and are near the trees to the left of them. They can't both have nets and backpacks and have no equipment and be at both the left and right of the trees.,,,,,,,People on a nature walk with *nets* and *backpacks* with trees to the left of them.,People on a nature walk with *no* *equipment* and trees to the right of them.,People on a nature walk *with* *nets* *and* *backpacks* with trees to the left of them.,People on a nature walk *with* *no* *equipment* and trees to the right of them.,People on a nature walk with *nets* *and* *backpacks* with trees to the *left* *of* *them.*,People on a nature walk with *no* *equipment* and trees to the *right* *of* *them.*,"them,backpacks,left,and,nets,with,of","them,equipment,no,right,with,of"
The man is performing a trick on a motorcycle high in the air.,A woman is performing a speech for her workers.,2,A man is not a woman. A motorcycle trick is not a speech.,there was a man not worman when you do a speech your are not normally doing them on a motorcycle,"One is on a motorcycle, the other is making a speech.",,,,,,,The *man* is performing a *trick* on a motorcycle high in the air.,A *woman* is performing a *speech* for her workers.,The *man* is performing a *trick* on a *motorcycle* high in the air.,A *woman* is performing a *speech* for her workers.,The man is performing a *trick* on a *motorcycle* high in the air.,A woman is performing a *speech* for her workers.,"trick,man,motorcycle","speech,woman"
"Two young girls with long brunette hair, standing in front of a stone wall playing a game.",Two girls with short blonde hair playing a game.,2,Two girls with brunette hair are not the same as two girls with blonde hair.,blonde hair is different from brunette hair,girls with short blonde hair can't have long brunette hair,,,,,,," Two young girls with long *brunette* hair, standing in front of a stone wall playing a game.",Two girls with short *blonde* hair playing a game.," Two young girls with long *brunette* *hair,* standing in front of a stone wall playing a game.",Two girls with short *blonde* *hair* playing a game.," Two young girls with *long* *brunette* *hair,* standing in front of a stone wall playing a game.",Two girls with *short* *blonde* hair playing a game.,"brunette,hair,long","hair,short,blonde"
A brunette woman holding a little girl dressed in pink is kneeling next to a grazing white and brown llama in the foreground of a hilly community.,A man talks to another.,2,"The woman is not a man, and she is kneeling next to a llama, not talking to another person.",A man is not a woman.,There is either a women or a man.,,,,,,,A brunette *woman* holding a little girl dressed in pink *is* *kneeling* *next* *to* *a* grazing white and brown *llama* in the foreground of a hilly community.,A *man* *talks* *to* *another.*,A brunette *woman* holding a little girl dressed in pink is kneeling next to a grazing white and brown llama in the foreground of a hilly community.,A *man* talks to another.,A brunette *woman* holding a little girl dressed in pink is kneeling next to a grazing white and brown llama in the foreground of a hilly community.,A *man* talks to another.,"kneeling,woman,to,is,llama,a,next","to,talks,man,another"
"A man, with a full face mask, sits on a sidewalk playing the guitar.",A woman is wearing a mask,2,A man is not a woman.,A man is not a woman.,woman is not a man,,,,,,," A *man,* with a full face mask, sits on a sidewalk playing the guitar.",A *woman* is wearing a mask," A *man,* with a full face mask, sits on a sidewalk playing the guitar.",A *woman* is wearing a mask," A *man,* with a full face mask, sits on a sidewalk playing the guitar.",A *woman* is wearing a mask,man,woman
A person standing next to an old dark building.,A woman running through a sunny field.,2,A person can be either a man or a woman. Standing and running are two different activities. An old dark building and a sunny field are not the same location. If it is dark it cannot be sunny at the same time.,The person cannot be running if they are standing.,A person cannot be standing and running simultaneously.,,,,,,,A *person* *standing* next to an *old* *dark* *building.*,A *woman* *running* through a *sunny* *field.*,A person *standing* next to an old dark building.,A woman *running* through a sunny field.,A person *standing* next to an old dark building.,A woman *running* through a sunny field.,"old,standing,person,dark,building","sunny,field,running,woman"
Young people and a kid are walking in the forest in a sunny day.,The old folks were racing in their wheel chairs in the rain.,2,Either the people are young or old. There would not be rain on a sunny day. The subjects are either walking or racing.,Young people and a kid are younger in age than old folks.,old folks are not young people,,,,,,,*Young* people and a kid are *walking* in the forest in a *sunny* day.,The *old* folks were *racing* in their wheel chairs in the *rain.*,*Young* *people* and a *kid* are walking in the forest in a sunny day.,The *old* *folks* were racing in their wheel chairs in the rain.,*Young* *people* and a kid are walking in the forest in a sunny day.,The *old* *folks* were racing in their wheel chairs in the rain.,"sunny,kid,people,Young,walking","old,racing,folks,rain"
"Two men scrimmage in soccer, as a referee looks on.",the ref is back flipping in the mud,2,The referee cannot be looking on and back flipping simultaneously.,The referee cannot be look on while back flipping in the mud.,looks not same as  flipping,,,,,,," Two men scrimmage in soccer, as a *referee* *looks* *on.*",the *ref* *is* *back* *flipping* in the mud," Two men scrimmage in soccer, as a *referee* *looks* *on.*",the ref is *back* *flipping* *in* *the* *mud*," Two men scrimmage in soccer, as a referee *looks* on.",the ref is back *flipping* in the mud,"on,referee,looks","ref,in,is,back,mud,flipping,the"
a breakdancer man is performing for the kids at school,A woman is break dancing,2,The subject is either a man or woman.,A man and a woman are not of the same gender and are not the same thing.,Either a man is break dancing or a woman is break dancing but not both.,,,,,,,a breakdancer *man* is performing for the kids at school,A *woman* is break dancing,a breakdancer *man* is performing for the kids at school,A *woman* is break dancing,a *breakdancer* *man* is performing for the kids at school,A *woman* *is* *break* *dancing*,"breakdancer,man","dancing,break,is,woman"
A young girl is playing a musical instrument and singing into a microphone.,A boy plays air guitar while lip syncing.,2,It is either a boy or a girl who plays the musical instrument and sing.,The person playing either has to be a boy or a girl.,It is a young girl playing music not a boy.,,,,,,,A *young* *girl* is playing a musical instrument and singing into a microphone.,*A* *boy* plays air guitar while lip syncing.,A young *girl* is playing a musical instrument and singing into a microphone.,A *boy* plays air guitar while lip syncing.,A *young* *girl* is playing a musical instrument and singing into a microphone.,A *boy* plays air guitar while lip syncing.,"girl,young","A,boy"
A young woman with brown hair and an elderly man with gray hair and a sweater jump in the air on a snowy hill with snowshoes on their feet.,A man and a woman are playing in the snow outside.,0,A man and woman playing in the snow can take the form of jumping in the snow.,The man and woman are wearing cold weather gear sweater and snowshoes,The young man and woman are in the snowy hill so they are playing in the snow outside.,,,,,,, A young *woman* with brown hair and an elderly *man* with gray hair and a sweater *jump* in the air on a *snowy* hill with snowshoes on their feet., A *man* and a *woman* are *playing* in the *snow* outside., A young woman with brown hair and an elderly man with gray hair and a *sweater* jump in the air on a snowy hill with *snowshoes* on their feet., A man and a woman are playing in the snow outside., A young woman with brown hair and an elderly man with gray hair and a sweater jump in the air on a *snowy* *hill* with snowshoes on their feet., A *man* and a *woman* are *playing* in the *snow* *outside.*,"sweater,woman,snowy,hill,jump,snowshoes,man","snow,woman,playing,outside,man"
A young woman with brown hair and an elderly man with gray hair and a sweater jump in the air on a snowy hill with snowshoes on their feet.,An old woman and a young man are crossing the street.,2,The young woman can't be an old woman.,You cannot be jumping on a snowy hill and crossing the street at the same time.,A woman cannot be old and young at the same time. Either the man is young or he is elderly. People cannot be crossing the street and jumping in the air on a snowy hill at the same time.,,,,,,,A *young* woman with brown hair and an elderly man with gray hair and a sweater jump in the air on a snowy hill with snowshoes on their feet.,An *old* woman and a young man are crossing the street.,A young woman with brown hair and an elderly man with gray hair and a sweater *jump* *in* *the* *air* *on* *a* *snowy* *hill* with snowshoes on their feet.,An old woman and a young man are *crossing* *the* *street.*,A *young* *woman* with brown hair and an *elderly* *man* with gray hair and a sweater *jump* *in* *the* *air* *on* *a* *snowy* *hill* with snowshoes on their feet.,An *old* *woman* and a *young* *man* are *crossing* *the* *street.*,"woman,snowy,young,in,jump,on,air,hill,a,the,man,elderly","woman,old,young,crossing,the,man,street"
A young woman with brown hair and an elderly man with gray hair and a sweater jump in the air on a snowy hill with snowshoes on their feet.,A man and a woman are jumping in the snow.,0,If the man and woman are jumping on a snowy hill with snow shoes on then they are jumping in the snow.,"If they jump in the air on a snowy hill, they are jumping in the snow.","If a young woman and elderly man are jumping on a snowy hill, than a man and a woman are jumping in the snow.",,,,,,, A young woman with brown hair and an elderly man with gray hair and a sweater *jump* in the air on a *snowy* *hill* with *snowshoes* on their feet., A man and a woman are *jumping* in the *snow.*, A young woman with brown hair and an elderly man with gray hair and a sweater *jump* *in* the *air* on a *snowy* hill with snowshoes on their feet., A man and a woman are *jumping* *in* the *snow.*, A young *woman* with brown hair and an elderly *man* with gray hair and a sweater *jump* in the air on a *snowy* hill with snowshoes on their feet., A *man* and a *woman* are *jumping* in the *snow.*,"snowshoes,woman,snowy,in,jump,air,hill,man","snow,woman,in,jumping,man"
A woman sweeping in front of a ladder on a busy street.,A man dumping a truck full of dirt onto the street,2,"In one sentence it is a man, in the other it is a woman. In one it is sweeping and in the other it is dumping.","Woman refers to female, and man refers to male.",A woman is not a man.,,,,,,,A *woman* *sweeping* in front of a ladder on a busy street.,A *man* *dumping* a truck full of dirt onto the street,A *woman* sweeping in front of a ladder on a busy street.,A *man* dumping a truck full of dirt onto the street,A *woman* sweeping in front of a ladder on a busy street.,A *man* dumping a truck full of dirt onto the street,"sweeping,woman","dumping,man"
A young girl running on grass,The girl is not standing still.,0,Running on grass implies not standing still.,The girl is not standing still therefore the young girl must be running,The girl is not standing still if she is running on the grass.,,,,,,, A young girl *running* *on* *grass*, The girl is *not* *standing* *still.*, A *young* *girl* *running* on grass, The *girl* is not *standing* *still.*, A young *girl* *running* on grass, The *girl* is *not* standing *still.*,"grass,young,on,running,girl","girl,not,standing,still"
"One man watches while another breakdances, balancing himself for a moment on one hand.",A woman strips in a sleazy club.,2,One cannot be described as a man and woman.   Breakdancing and stripping are different activities.,"The first sentence says a man breakdances, while the next says a woman strips. The two have nothing to do with each other as it says another man breakdances, not a woman who is stripping.",Two men are multiple males while one woman is a single female.,,,,,,," One *man* *watches* while another *breakdances,* balancing himself for a moment on one hand.",A *woman* *strips* in a sleazy club.," *One* *man* watches while *another* *breakdances,* balancing himself for a moment on one hand.",A *woman* *strips* in a sleazy club.," One *man* watches while *another* breakdances, balancing himself for a moment on one hand.",A *woman* strips in a sleazy club.,"breakdances,another,One,watches,man","strips,woman"
The collie is standing outdoors on a sandy area.,The collie is running through the park.,2,An animal cannot be standing and running at the same time.,If a collie is not standing outdoors then it is not running through the park.,The collie is either standing outdoors on a sandy area or running through the park.,,,,,,,The collie is *standing* outdoors on a sandy area.,The collie is *running* through the park.,The *collie* is *standing* *outdoors* on a sandy area.,The collie is *running* *through* *the* *park.*,The collie is *standing* *outdoors* *on* *a* *sandy* *area.*,The collie is *running* *through* *the* *park.*,"sandy,collie,standing,area,on,outdoors,a","through,the,park,running"
A man in a black coat and hat and a woman in a blue coat with pink hat snowshoeing on the side of a road with a stoplight in the background.,A man and woman are outside in the snow.,0,Showshoeing implies being in the snow,"If the man and woman are ""snowshoeing on the side of a road"" then it is implied that they are ""outside in the snow"".",The man and woman are outside in the snow.,,,,,,, A man in a black coat and hat and a woman in a blue coat with pink hat *snowshoeing* on the side of a road with a stoplight in the background., A man and woman are outside *in* *the* *snow.*, A man in a black coat and hat and a woman in a blue coat with pink hat *snowshoeing* *on* *the* *side* *of* *a* *road* with a stoplight in the background., A man and woman are *outside* *in* *the* *snow.*, A *man* in a black coat and hat and a *woman* in a blue coat with pink hat *snowshoeing* on the side of a *road* with a stoplight in the background., A *man* and *woman* are *outside* in the *snow.*,"woman,side,on,road,snowshoeing,a,the,man,of","snow,woman,in,the,outside,man"
A man in a black coat and hat and a woman in a blue coat with pink hat snowshoeing on the side of a road with a stoplight in the background.,A man and women are sitting by the fire.,2,It is not possible to be snowshoeing and sitting at the same time.,"A woman is singular, women is plural.",man and woman can't be sitting if they are snowshoeing,,,,,,,A man in a black coat and hat and a woman in a blue coat with pink hat *snowshoeing* on the side of a road with a stoplight in the background.,A man and women are *sitting* by the fire.,A man in a black coat and hat and *a* *woman* in a blue coat with pink hat snowshoeing on the side of a road with a stoplight in the background.,A man *and* *women* are sitting by the fire.,A *man* in a black coat and hat and a *woman* in a blue coat with pink hat *snowshoeing* on the side of a road with a stoplight in the background.,A *man* and *women* are *sitting* by the fire.,"a,snowshoeing,man,woman","sitting,women,man,and"
One female and two male musicians holding musical equipment.,There is one female,0,"Three people holding musical equipment, of which one is female and two is male",One female is a rephrasing of there is one female.,both statements state there is one female in this scenario.,,,,,,, One female and *two* *male* *musicians* *holding* *musical* *equipment.*, There is *one* *female*, *One* *female* and two male musicians holding musical equipment., *There* *is* *one* *female*, *One* *female* and two male musicians holding musical equipment., There is *one* *female*,"two,female,equipment,holding,male,musicians,musical,One","is,female,There,one"
A wet black lab with a red collar is standing in the water.,A white dog is laying on the grass.,2,The dog can't be black while being white.,A black dog standing in the water cannot possibly be a white dog laying on the grass.,"A black lab is not usually white, and cannot be both in the water and on the grass at the same time.",,,,,,,A wet *black* lab with a red collar is standing in the water.,A *white* dog is laying on the grass.,A wet *black* lab with a red collar is *standing* *in* *the* *water.*,A *white* dog is *laying* *on* *the* *grass.*,A wet *black* *lab* with a red collar is standing *in* *the* *water.*,A *white* dog is laying on the *grass.*,"in,standing,black,lab,water,the","white,grass,on,laying,the"
A small girl with braids blowing bubbles.,A young boy plays with his yo-yo.,2,A girl is not a boy. Bubbles are not yo-yos.,The first sentence is about a girl and the second sentence is about a boy.,A girl and boy can be playing.,,,,,,,A small *girl* with braids blowing *bubbles.*,A young *boy* plays with his *yo-yo.*,A small *girl* with braids blowing bubbles.,A young *boy* plays with his yo-yo.,A small *girl* with braids blowing bubbles.,A young *boy* plays with his yo-yo.,"girl,bubbles","yo-yo,boy"
Man sitting playing guitar.,"A man is standing on stage at a concert, playing saxophone.",2,The man cannot be sitting and standing simultaneously.,If a man is sitting playing a guitar he is not standing playing a saxophone.,The man cannot be sitting and standing at the same time.,,,,,,,Man *sitting* playing guitar.," A man is *standing* on stage at a concert, playing saxophone.",*Man* *sitting* *playing* *guitar.*," A man is *standing* on stage at a concert, *playing* *saxophone.*",Man *sitting* playing guitar.," A man is *standing* on stage at a concert, playing saxophone.","sitting,guitar,playing,Man","standing,playing,saxophone"
An older woman is holding a small child.,a man holding a baby,2,He refers to an older woman not a man.,A man is not an older woman.,The woman and man are different people. A baby isn't a small child.,,,,,,,An *older* *woman* is holding a small child.,a *man* holding a baby,An *older* *woman* is holding a small child.,a *man* holding a baby,An older *woman* is holding a *small* *child.*,a *man* holding a *baby*,"small,older,child,woman","baby,man"
A dog with a purple leash is held by a woman wearing white shoes.,A man is holding a leash on someone else dog.,2,A woman is not a man.,A MAN CANNOT BE A WOMAN ANYMORE,It must be either a man or a woman who is holding a leash.,,,,,,,A dog with a purple leash is held by a *woman* wearing white shoes.,A *man* is holding a leash on someone else dog.,A dog with a purple leash is held by a *woman* wearing white shoes.,A *man* is holding a leash on someone else dog.,A *dog* with a purple leash is *held* *by* a *woman* wearing white shoes.,A *man* is *holding* a *leash* on someone else dog.,"dog,by,held,woman","holding,leash,man"
Two people are setting up a photo shoot of a mobile in a white room.,The room is black.,2,"He refers to the room as being black, not white.",A white room is not a black room.,The room can not be both white and black.,,,,,,,Two people are setting up a photo shoot of a mobile in a *white* *room.*,The *room* *is* *black.*,Two people are setting up a photo shoot of a mobile in a *white* room.,The room is *black.*,Two people are setting up a photo shoot of a mobile in a *white* room.,The room is *black.*,"white,room","room,is,black"
"Two distinguished older gentlemen stand outside a house, trees in background, both with white hair, the taller man having his arm about the other man's shoulder as they face the camera from behind their corrective lenses.",The older men are sitting inside drinking tea.,2,One cannot be outside and inside simultaneously. Sitting means not standing.,Stand is the opposite of sitting.,People typically can't be considered being inside and outside at the same time.,,,,,,," Two distinguished older gentlemen *stand* *outside* a house, trees in background, both with white hair, the taller man having his arm about the other man's shoulder as they face the camera from behind their corrective lenses.",The older men are *sitting* *inside* drinking tea.," Two distinguished older gentlemen *stand* outside a house, trees in background, both with white hair, the taller man having his arm about the other man's shoulder as they face the camera from behind their corrective lenses.",The older men are *sitting* inside drinking tea.," Two distinguished older gentlemen stand *outside* a house, trees in background, both with white hair, the taller man having his arm about the other man's shoulder as they face the camera from behind their corrective lenses.",The older men are sitting *inside* drinking tea.,"stand,outside","sitting,inside"
Two men are assisting a small girl in a harness.,There are two women helping a boy with a harness.,2,It is either two men or two women  helping the child.  It is either a boy or girl that is being helped.,Two men and women are helping other individuals in both the sentences.,men are not the same as women and a girl is not the same as a boy.,,,,,,,*Two* *men* are assisting a small *girl* in a harness.,There are *two* *women* helping a *boy* with a harness.,Two *men* are assisting a small girl in a harness.,There are two *women* helping a boy with a harness.,Two *men* are assisting a small *girl* in a harness.,There are two *women* helping a *boy* with a harness.,"girl,men,Two","two,women,boy"
